study_id	name	version	raw_version	bids_version	raw_bids_version	raw_hed_version	license	authors	author_lead_raw	author_senior_raw	source_count	source_types	derivative_count	subjects_num	sessions_num	sessions_min	sessions_max	bold_num	bold_timepoints	bold_tasks	bold_trs	bold_duration_total	t1w_num	t2w_num	bold_size	t1w_size	bold_size_max	bold_voxels	datatypes	derivative_ids	bids_valid	extraction_version
study-ds002790	Study dataset for ds002790	n/a	2.0.0	1.10.1	n/a	n/a	CC0	Yaroslav Halchenko	n/a	n/a	1	raw	0	1803	n/a	n/a	n/a	2688	n/a	emomatching,restingstate,stopsignal,workingmemory	n/a	n/a	678	0	253162349695	9459210381	211830802	n/a	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds002843	Study dataset for ds002843	n/a	1.0.1	1.10.1	1.1.1	n/a	CC0	Yaroslav Halchenko	Sangil Lee	Joseph Kable	1	raw	0	166	1431	4	10	2630	290821	itc,rest,risk	"{""3.0"": 2623, ""3.44"": 7}"	872808.0	293	290	78668149917	2559851481	46784733	217088	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds003020	Study dataset for ds003020	n/a	3.1.0	1.10.1	1.3.0	n/a	CC0	Yaroslav Halchenko	Amanda LeBel	Alexander G. Huth	1	raw	0	9	192	13	33	562	189367	AudioMotorLocalizer,AuditoryLocalizer,CategoryLocalizer1,CategoryLocalizer2,CategoryLocalizer3,MotorLocalizer,adollshouse,adventuresinsayingyes,afatherscover,againstthewind,alternateithicatom,avatar,backsideofthestorm,becomingindian,beneaththemushroomcloud,birthofanation,bluehope,breakingupintheageofgoogle,buck,catfishingstrangerstofindmyself,cautioneating,christmas1940,cocoonoflove,comingofageondeathrow,exorcism,eyespy,firetestforlove,food,forgettingfear,fromboyhoodtofatherhood,gangstersandcookies,goingthelibertyway,goldiethegoldfish,golfclubbing,gpsformylostidentity,hangtime,haveyoumethimyet,howtodraw,ifthishaircouldtalk,inamoment,itsabox,jugglingandjesus,kiksuya,leavingbaghdad,legacy,life,lifeanddeathontheoregontrail,lifereimagined,listo,mayorofthefreaks,metsmagic,mybackseatviewofagreatromance,myfathershands,myfirstdaywiththeyankees,naked,notontheusualtour,odetostepfather,onlyonewaytofindout,penpal,quietfire,reachingoutbetweenthebars,shoppinginchina,singlewomanseekingmanwich,sloth,souls,stagefright,stumblinginthedark,superheroesjustforeachother,sweetaspie,swimmingwithastronauts,thatthingonmyarm,theadvancedbeginner,theclosetthatateeverything,thecurse,thefreedomridersandme,theinterview,thepostmanalwayscalls,theshower,thetiniestbouquet,thetriangleshirtwaistconnection,threemonths,thumbsup,tildeath,treasureisland,undertheinfluence,vixenandtheussr,waitingtogo,whenmothersbullyback,wheretheressmoke,wildwomenanddancingqueens	"{""2.0"": 562}"	378734.0	9	0	136689075522	30640737	434537843	381024	anat,func	n/a	n/a	1.1.0
study-ds003097	Study dataset for ds003097	n/a	n/a	n/a	n/a	n/a	n/a	Yaroslav Halchenko	n/a	n/a	0	n/a	0	n/a	n/a	n/a	n/a	0	0	n/a	n/a	0	0	0	0	0	0	0	n/a	n/a	n/a	1.1.0
study-ds003592	Study dataset for ds003592	n/a	1.0.13	1.10.1	1.0.2	n/a	CC0	Yaroslav Halchenko	R. Nathan Spreng	Gary R. Turner	1	raw	0	301	1505	5	5	1806	363252	rest	"{""3.0"": 1788}"	1089756.0	301	0	107367373586	2740240206	97300192	238464	anat,func	n/a	n/a	1.1.0
study-ds003604	Study dataset for ds003604	n/a	1.0.2	1.10.1	1.5.0	n/a	CC0	Yaroslav Halchenko	Jin Wang	James R. Booth	1	raw	0	644	4566	3	15	3851	717946	Gram,Phon,Plaus,Sem	"{""1.25"": 3851}"	897432.5	827	0	686936072839	7057029004	321055459	917504	anat,dwi,fmap,func	n/a	n/a	1.1.0
study-ds003643	Study dataset for ds003643	n/a	2.0.7	1.10.1	1.6.0	n/a	CC0	Yaroslav Halchenko	Jixing Li	Christophe Pallier	1	raw	0	224	n/a	n/a	n/a	4041	1306858	lppCN,lppEN,lppFR	"{""2.0"": 4041}"	2613716.0	112	0	230807492210	1045094505	103159409	486180	anat,func	n/a	n/a	1.1.0
study-ds003798	Study dataset for ds003798	n/a	1.0.5	1.10.1	1.6.0	n/a	CC0	Yaroslav Halchenko	Dorit Kliemann	* Joint senior authorship	1	raw	0	508	2796	4	12	844	396770	bang,pixar,rest	"{""0.7"": 466, ""1.0"": 242, ""2.5"": 136}"	345947.0	521	73	263492866109	10026388312	647127031	565812	anat,fmap,func	n/a	n/a	1.1.0
study-ds004044	Study dataset for ds004044	n/a	2.0.3	1.10.1	1.4.1	n/a	CC0	Yaroslav Halchenko	Sai Ma	Zonglei Zhen	1	raw	0	620	988	3	4	744	172608	motor	"{""2.0"": 744}"	345216.0	63	0	149722981597	707158971	422768309	720000	anat,fmap,func	n/a	n/a	1.1.0
study-ds004078	Study dataset for ds004078	n/a	1.0.4	1.10.1	1.6.0	n/a	CC0	Yaroslav Halchenko	Shaonan Wang	Chengqing Zong	1	raw	0	24	n/a	n/a	n/a	1536	737856	RDR,rest	"{""0.71"": 1536}"	523877.7	24	24	686732029686	607557516	623349286	902629	anat,dwi,func,meg	n/a	n/a	1.1.0
study-ds004146	Study dataset for ds004146	n/a	1.0.0	1.10.1	1.6.0	n/a	CC0	Yaroslav Halchenko	Strike, Lachlan T.	Wright, Margaret J.	1	raw	0	417	4560	2	13	2019	827169	emotionalconflict,partlycloudy,rest	"{""0.8"": 599, ""0.93"": 1420}"	722099.4	0	655	558315078191	n/a	437082300	778752	anat,dwi,fmap,func,perf	n/a	n/a	1.1.0
study-ds004169	Study dataset for ds004169	n/a	1.0.0	1.10.1	1.6.0	n/a	CC0	Yaroslav Halchenko	Strike, Lachlan T.	Wright, Margaret J.	1	raw	0	1202	4016	2	6	2453	339896	nback,rest	"{""2.1"": 2453}"	713781.6	1342	0	57671840451	16081832665	33534932	147456	anat,func	n/a	n/a	1.1.0
